å⁄ãqÉRÅ[Éh,ÉAÉJÉEÉìÉgéØï éq,èTÉoÅ[ÉWÉáÉìÇhÇc,èTÉoÅ[ÉWÉáÉì,ÉAÉNÉZÉXì˙éû,ÇtÇqÇkÇhÇc,ÇtÇqÇkï™ó£ÇhÇc,ÇtÇqÇkè⁄ç◊ÇhÇc
100,Q5O5555555QLJ44TP4G055P4,1118,2123,2021/6/3 12:21,52705,62000,0
100,Q5O5555555QLJ44TP4G055P4,1118,2123,2021/6/3 12:22,1005,41510,0
100,Q5O5555555QLJ44TP4G055P4,1118,2123,2021/6/3 12:22,1005,41510,0
100,Q5O5555555QLJ44TP4G055P4,1118,2123,2021/6/3 12:22,52705,62000,0
100,Q5O5555555QLJ44TP4G055P4,1123,2128,2021/7/10 11:03,1005,41510,0
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1132,2137,2021/9/14 13:25,1005,41510,0
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1132,2137,2021/9/14 13:25,1005,41510,0
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1132,2137,2021/9/14 13:26,52705,62000,0
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1132,2137,2021/9/14 13:26,52707,62000,0
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1132,2137,2021/9/14 13:26,60926,62000,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 1:50,52707,62000,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 1:51,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 1:54,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 2:19,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 2:31,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 2:31,1008,43020,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 2:32,1010,43030,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1109,2114,2021/4/6 2:32,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1110,2115,2021/4/9 7:29,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1112,2117,2021/4/26 4:31,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1117,2122,2021/5/31 6:51,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1117,2122,2021/5/31 6:51,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1117,2122,2021/5/31 6:51,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1118,2123,2021/6/3 4:57,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1118,2123,2021/6/3 4:57,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1119,2124,2021/6/15 4:50,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1120,2125,2021/6/22 6:07,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1120,2125,2021/6/22 6:07,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1121,2126,2021/6/25 5:02,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1121,2126,2021/6/25 5:02,1005,41510,0
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1127,2132,2021/8/10 1:27,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1109,2114,2021/4/1 9:53,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1109,2114,2021/4/1 9:54,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1109,2114,2021/4/1 9:54,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1109,2114,2021/4/1 10:53,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1109,2114,2021/4/5 1:39,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1110,2115,2021/4/8 8:30,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1111,2116,2021/4/15 12:29,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1111,2116,2021/4/21 1:12,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1111,2116,2021/4/21 1:49,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1111,2116,2021/4/21 1:57,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1111,2116,2021/4/21 2:57,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 9:35,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 9:36,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 9:51,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 10:42,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 11:09,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/22 11:09,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/27 1:13,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1112,2117,2021/4/27 1:13,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1113,2118,2021/4/29 8:20,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1114,2119,2021/5/6 10:58,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/13 13:08,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/13 13:08,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/14 7:34,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 0:53,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 1:32,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 2:13,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 3:26,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 3:26,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 6:05,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 7:53,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 7:53,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1115,2120,2021/5/19 9:05,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1116,2121,2021/5/20 10:34,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1117,2122,2021/5/27 12:36,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1117,2122,2021/5/28 6:47,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1117,2122,2021/5/28 6:48,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1118,2123,2021/6/3 11:59,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1118,2123,2021/6/9 8:29,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1119,2124,2021/6/10 14:04,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1119,2124,2021/6/16 3:50,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1120,2125,2021/6/17 11:32,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1120,2125,2021/6/20 4:19,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1120,2125,2021/6/20 4:19,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 12:35,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 12:35,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 13:31,73443,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 13:31,52707,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 14:02,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 14:02,52705,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 14:02,52707,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 14:03,1008,43020,0
122,45NG5GJO5N50TTLTP45N55PQ,1121,2126,2021/6/24 14:03,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:24,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:24,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:24,1008,43020,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:25,1008,43020,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:25,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:25,60926,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:25,52707,62000,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:26,1008,43020,0
122,45NG5GJO5N50TTLTP45N55PQ,1122,2127,2021/7/5 12:26,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1123,2128,2021/7/8 9:13,1005,41510,0
122,45NG5GJO5N50TTLTP45N55PQ,1123,2128,2021/7/8 9:14,1005,41510,0
