顧客コード,アカウント識別子,週バージョン,受注日時,受注作成日時,受注更新日時,発送予定日,おためしセットフラグ,受注キャンセルフラグ,変更フラグ,受注金額,値引き,送料,冷凍料金,消費税,他社使用ポイント,クーポンＩＤ,割引クーポン,まんまメールフラグ,クーポン金額
100,Q5O5555555QLJ44TP4G055P4,1926,2019/6/20 4:22,2019/6/20 4:22,2019/7/1 11:42,2019/6/30 15:00,1,0,1,1979,0,1000,0,73,1,,0,0,
100,Q5O5555555QLJ44TP4G055P4,1926,2019/6/20 14:29,2019/6/20 14:05,2019/7/3 7:16,2019/6/29 15:00,0,0,1,0,9822,0,200,711,1,,0,0,
100,Q5O5555555QLJ44TP4G055P4,1927,2019/7/2 0:31,2019/7/2 0:16,2019/7/2 4:19,2019/7/7 15:00,0,1,1,9172,0,0,0,677,0,,0,0,
100,Q5O5555555QLJ44TP4G055P4,1927,2019/7/3 13:05,2019/7/3 13:05,2019/7/8 10:43,2019/7/7 15:00,0,0,0,9172,0,0,0,677,0,,0,1,
100,Q5O5555555QLJ44TP4G055P4,1928,2019/7/4 4:14,2019/7/4 4:14,2019/7/6 11:21,2019/7/14 15:00,0,1,0,9468,0,0,0,699,0,,0,0,
100,Q5O5555555QLJ44TP4G055P4,1928,2019/7/7 12:38,2019/7/7 12:38,2019/7/11 1:12,2019/7/14 15:00,0,0,0,9468,0,0,0,699,0,,0,1,
100,Q5O5555555QLJ44TP4G055P4,1928,2019/7/8 3:14,2019/7/8 3:14,2019/7/10 10:43,2019/7/9 15:00,0,0,0,9468,0,0,0,699,0,,0,1,
100,Q5O5555555QLJ44TP4G055P4,1928,2019/7/10 14:19,2019/7/10 14:19,2019/7/11 1:12,2019/7/14 15:00,0,0,0,9468,0,0,0,699,0,,0,1,
100,Q5O5555555QLJ44TP4G055P4,1929,2019/7/11 2:04,2019/7/11 2:04,2019/7/18 1:12,2019/7/21 15:00,0,0,0,9747,0,0,0,720,0,,0,1,
100,Q5O5555555QLJ44TP4G055P4,1929,2019/7/16 21:24,2019/7/16 21:24,2019/7/16 21:33,2019/7/21 15:00,0,1,1,0,0,0,0,0,0,,0,1,
109,TT04JTGQ55LGGTQTP4OQ5TP0,1926,2019/6/20 8:36,2019/6/20 8:36,2019/6/20 9:48,2019/6/26 15:00,1,1,1,980,0,0,0,73,0,,0,0,
109,TT04JTGQ55LGGTQTP4OQ5TP0,1926,2019/6/21 1:51,2019/6/21 1:51,2019/6/27 2:10,2019/6/25 15:00,1,0,1,680,300,0,0,73,0,,0,0,
109,TT04JTGQ55LGGTQTP4OQ5TP0,1926,2019/6/25 0:54,2019/6/23 9:31,2019/7/3 7:16,2019/6/25 15:00,0,0,1,0,1595,600,0,89,200,,0,0,
109,TT04JTGQ55LGGTQTP4OQ5TP0,1927,2019/6/27 9:27,2019/6/27 9:27,2019/6/28 2:24,2019/7/2 15:00,0,1,0,9061,0,0,200,654,0,,0,0,
109,TT04JTGQ55LGGTQTP4OQ5TP0,1927,2019/6/28 2:31,2019/6/28 2:31,2019/6/28 2:33,2019/7/3 15:00,0,1,0,9372,0,0,200,677,0,,0,0,
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1926,2019/6/20 11:24,2019/6/20 11:24,2019/6/21 5:11,2019/6/26 15:00,1,1,1,980,0,0,0,73,0,,0,0,
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1926,2019/6/25 12:22,2019/6/23 11:42,2019/6/27 10:55,2019/6/26 15:00,0,0,1,1864,0,600,0,94,10,,0,0,
