顧客コード,アカウント識別子,週バージョン,定期登録日時,定期解約日時,経過週,初回おいくらキャンペーンコード,おいくらキャンペーン名,ホスピタリティーコード,おためしホスピタリティ,おためしホスピタリティ分類,登録端末タイプ,発送曜日,到着曜日ＩＤ,顧客更新者,おためし受注フラグ,退会週,登録時更新者,HosID Docomo分類,キャンペーン分類
100,Q5O5555555QLJ44TP4G055P4,1926,2019/6/20 23:05,2019/6/27 13:05,2,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9999,1,1927,9999,hosなし・自然流入,その他
100,Q5O5555555QLJ44TP4G055P4,1928,2019/7/3 22:05,2019/7/6 20:22,2,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9999,0,1928,9999,hosなし・自然流入,その他
100,Q5O5555555QLJ44TP4G055P4,1929,2019/7/10 23:19,,2,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9999,0,1929,9999,hosなし・自然流入,その他
109,TT04JTGQ55LGGTQTP4OQ5TP0,1926,2019/6/23 18:31,2019/6/28 11:41,2,d19062002,dミールキットご入会キャンペーン,,,,1,4,5,9999,1,1927,9999,hosなし・自然流入,その他
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1926,2019/6/23 20:42,2019/7/3 8:32,2,d19062002,dミールキットご入会キャンペーン,,,,1,5,6,9999,0,1927,9999,hosなし・自然流入,その他
115,4J0OQOJ45ONQJ5TTP4Q45TP5,1928,2019/7/3 9:37,,3,,,,,,1,5,6,749,0,1930,9999,hosなし・自然流入,
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1926,2019/6/25 16:10,2019/6/27 16:19,2,d19062002,dミールキットご入会キャンペーン,,,,3,2,3,1746,1,1927,1746,hosなし・自然流入,その他
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1928,2019/6/28 16:30,2019/7/5 12:22,2,d19062002,dミールキットご入会キャンペーン,,,,3,3,4,1746,0,1928,1746,hosなし・自然流入,その他
120,4JLLJTNQ5T0G0TQTP4O05TPJ,1929,2019/7/5 15:15,,2,d19062002,dミールキットご入会キャンペーン,,,,3,2,3,9999,0,1929,9999,hosなし・自然流入,その他
122,45NG5GJO5N50TTLTP45N55PQ,1926,2019/6/24 13:51,,145,d19062002,dミールキットご入会キャンペーン,,,,3,5,6,1133,1,2213,99,hosなし・自然流入,その他
143,G5O5555T55QT44NTP44055PJ,1926,2019/6/24 11:26,2019/8/16 13:26,9,d19062002,dミールキットご入会キャンペーン,,,,1,5,6,9990,0,1934,749,hosなし・自然流入,その他
145,05O5505T55QJQ4GTP4J055P0,1926,2019/6/24 22:58,2019/7/1 14:51,2,d19062002,dミールキットご入会キャンペーン,,,,3,2,3,9999,0,1927,9999,hosなし・自然流入,その他
145,05O5505T55QJQ4GTP4J055P0,1928,2019/7/1 14:56,2019/7/11 12:41,3,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,146,0,1929,9999,hosなし・自然流入,その他
154,LO0G450550J5JT4TP44G55PQ,1926,2019/6/24 15:34,,5,d19062002,dミールキットご入会キャンペーン,,,,1,5,6,3056,0,1930,749,hosなし・自然流入,その他
260,QJJTJOL45OGL54NTP44Q5TPJ,1927,2019/7/3 18:03,,2,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9999,0,1928,9999,hosなし・自然流入,その他
263,O505JQOQ54NQJ40TP4T45TP5,1928,2019/7/10 17:20,2019/7/11 10:55,1,d19062002,dミールキットご入会キャンペーン,,,,1,3,4,9999,0,1929,9999,hosなし・自然流入,その他
263,O505JQOQ54NQJ40TP4T45TP5,1930,2019/7/12 12:11,2019/7/18 14:46,2,d19062002,dミールキットご入会キャンペーン,,,,1,1,2,749,0,1930,749,hosなし・自然流入,その他
263,O505JQOQ54NQJ40TP4T45TP5,1931,2019/7/18 14:46,2019/7/25 10:06,2,d19062002,dミールキットご入会キャンペーン,,,,1,5,6,9999,0,1931,9999,hosなし・自然流入,その他
263,O505JQOQ54NQJ40TP4T45TP5,1932,2019/7/25 10:06,2019/8/1 11:35,2,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9999,0,1932,9999,hosなし・自然流入,その他
300,JOJ0QGGJ5G5NQOLTP4OQ5TP5,1928,2019/7/4 23:54,2019/7/25 9:17,3,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,749,0,1930,9999,hosなし・自然流入,その他
464,4T0TLOOO5ON405GTP4LQ5TP5,1929,2019/7/13 13:15,2021/4/21 8:19,93,d19062002,dミールキットご入会キャンペーン,,,,3,6,7,9990,0,2116,9999,hosなし・自然流入,その他
501,0QLJLLGQ5Q00GTQTP4O45TPT,1929,2019/7/17 17:44,2019/7/17 17:58,1,d19062002,dミールキットご入会キャンペーン,,,,1,7,1,9999,0,1929,9999,hosなし・自然流入,その他
514,JJ04LOO45L4OQTOTP4OO55PL,1930,2019/7/19 18:23,,17,d19062002,dミールキットご入会キャンペーン,,,,1,7,1,9999,0,1946,9999,hosなし・自然流入,その他
516,45LL4JJO54T444LTP4L05TP4,1930,2019/7/19 22:17,,141,d19062002,dミールキットご入会キャンペーン,,,,1,2,3,9000,0,2213,9999,hosなし・自然流入,その他
542,540QQGJ55OOTQ44TP44L5TPG,1931,2019/7/25 14:26,2022/1/30 6:32,132,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,1434,0,2205,9999,hosなし・自然流入,転換＆直入会
557,LT0QGO5Q55GLQ55TP4LL5TPT,1931,2019/7/25 15:02,,33,d19062001,dミールキットご入会特別キャンペーン,,,,1,7,1,2002,0,2011,9999,hosなし・自然流入,転換＆直入会
560,N5O55N5T55QG44OTP4J055P0,2023,2020/5/29 15:00,2020/9/21 15:06,17,dOB000005,【お電話でご入会】dミールキットご入会特別キャンペーン◎,,,,0,3,4,9002,0,2039,1133,hosなし・自然流入,OB
569,05O5505555QLN4NTP4J055P0,1931,2019/7/27 14:01,,140,d19062001,dミールキットご入会特別キャンペーン,,,,3,7,1,1964,1,2213,9999,hosなし・自然流入,転換＆直入会
